L,err95,fails,p,pfail,q,trials
18.0,1.2806245337334782e-07,39.0,0.000215443,4.0999998360000064e-07,0.000215443,100000000.0
18.0,2.1725547295294292e-07,116.0,0.000278256,1.1799999528000018e-06,0.000278256,100000000.0
18.0,3.908956434651975e-07,380.0,0.000359381,3.819999847200006e-06,0.000359381,100000000.0
18.0,7.163751632969925e-07,1281.0,0.000464159,1.2829999486800021e-05,0.000464159,100000000.0
18.0,1.3487464985155428e-06,4546.0,0.0005994840000000001,4.547999818080007e-05,0.0005994840000000001,100000000.0
18.0,2.573500055529757e-06,16558.0,0.000774264,0.00016559999337600027,0.000774264,100000000.0
18.0,4.9596021296770854e-06,61530.0,0.001,0.0006153199753872009,0.001,100000000.0
18.0,0.0002996503374435495,223.0,0.00129155,0.002249910003599856,0.00129155,100000.0
18.0,0.0005623468381755943,795.0,0.0016680999999999998,0.00796968121275149,0.0016680999999999998,100000.0
18.0,0.0010060425898234361,2596.0,0.00215443,0.025978960841566336,0.00215443,100000.0
18.0,0.0016783570658789845,7622.0,0.00278256,0.07623695052197912,0.00278256,100000.0
18.0,0.0024497526684579894,18382.0,0.00359381,0.18383264669413224,0.00359381,100000.0
18.0,0.002983044466777436,33408.0,0.00464159,0.33408663653453863,0.00464159,100000.0
18.0,0.0031495135370599153,45523.0,0.00599484,0.4552317907283709,0.00599484,100000.0
18.0,0.003162115245727932,49604.0,0.00774264,0.4960401583936643,0.00774264,100000.0
18.0,0.00316221430963818,50013.0,0.01,0.500129994800208,0.01,100000.0
